state,indicator,legend_name,urban,rural,total,rank
Andaman & Nicobar Islands,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),93.8,87.9,90.3,6
Andhra Pradesh,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),77.6,63,67.5,21
Arunachal Pradesh,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),78.6,71.1,73.3,16
Assam,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),70.8,40.9,44.8,33
Bihar,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),55.6,27.3,31,36
Chandigarh,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),NA,NA,92.1,4
Chhattisgarh,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),72.7,39.4,47.1,31
Dadra & Nagar Haveli,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),66.4,50.9,57.1,26
Daman & Diu,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),79.1,61.9,73.2,17
Delhi,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),90.3,NA,90.2,7
Goa,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),94.1,81.7,89.3,9
Gujarat,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),70,53.5,60.3,25
Haryana,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),82.5,75.9,78.4,13
Himachal Pradesh,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),90,83.7,84.3,12
Jammu & Kashmir,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),85,60.2,66.5,22
Jharkhand,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),77.2,39.4,49.6,29
Karnataka,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),81.6,62.1,70.3,19
Kerala,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),91.7,88.5,90,8
Lakshadweep,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),97,98.4,97.1,1
Madhya Pradesh,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),65.4,26.4,37.6,35
Maharashtra,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),77,55.7,66.1,23
Manipur,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),80.5,73.3,76.1,15
Meghalaya,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),85.2,57.1,63.7,24
Mizoram,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),96.3,88.6,93.4,3
Nagaland,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),82,66.1,72.6,18
Odisha,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),70,42.8,47.4,30
Puducherry,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),96.5,97.8,96.9,2
Punjab,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),91.2,80.7,84.4,11
Rajasthan,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),78.8,47.9,55.2,27
Sikkim,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),92.7,80.8,84.6,10
Tamil Nadu,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),93.5,89.5,91.4,5
Telangana,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),86.7,67.2,76.3,14
Tripura,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),56.5,38.6,43.5,34
Uttar Pradesh,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),68.6,39.9,47.1,32
Uttarakhand,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),78.9,65,69.9,20
West Bengal,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),73,47.6,55,28
