state,indicator,legend_name,urban,rural,total,rank
Lakshadweep,104,Ever-married women who have experienced violence during any pregnancy (%),0,NA,0,1
Meghalaya,104,Ever-married women who have experienced violence during any pregnancy (%),0.5,0.4,0.4,2
Sikkim,104,Ever-married women who have experienced violence during any pregnancy (%),0,0.6,0.4,3
Kerala,104,Ever-married women who have experienced violence during any pregnancy (%),0.9,1.6,1.2,4
Jammu & Kashmir,104,Ever-married women who have experienced violence during any pregnancy (%),0.8,1.5,1.3,5
Rajasthan,104,Ever-married women who have experienced violence during any pregnancy (%),1.3,1.4,1.4,6
Uttarakhand,104,Ever-married women who have experienced violence during any pregnancy (%),1.1,1.5,1.4,7
Arunachal Pradesh,104,Ever-married women who have experienced violence during any pregnancy (%),2.6,1.2,1.5,8
Himachal Pradesh,104,Ever-married women who have experienced violence during any pregnancy (%),2.3,1.3,1.5,9
Nagaland,104,Ever-married women who have experienced violence during any pregnancy (%),0.4,2.3,1.5,10
Goa,104,Ever-married women who have experienced violence during any pregnancy (%),1.9,0.9,1.6,11
Gujarat,104,Ever-married women who have experienced violence during any pregnancy (%),0.4,3,1.8,12
Assam,104,Ever-married women who have experienced violence during any pregnancy (%),1.8,2.1,2.1,13
Mizoram,104,Ever-married women who have experienced violence during any pregnancy (%),2.8,1.1,2.1,14
Tripura,104,Ever-married women who have experienced violence during any pregnancy (%),1.5,2.5,2.2,15
Punjab,104,Ever-married women who have experienced violence during any pregnancy (%),2.2,2.3,2.3,16
Jharkhand,104,Ever-married women who have experienced violence during any pregnancy (%),1.6,3.3,2.8,17
Maharashtra,104,Ever-married women who have experienced violence during any pregnancy (%),2.3,3.4,2.9,18
Andaman & Nicobar Islands,104,Ever-married women who have experienced violence during any pregnancy (%),1.7,4.2,3.2,19
Odisha,104,Ever-married women who have experienced violence during any pregnancy (%),0.9,3.8,3.2,20
Madhya Pradesh,104,Ever-married women who have experienced violence during any pregnancy (%),2.5,3.6,3.3,21
Delhi,104,Ever-married women who have experienced violence during any pregnancy (%),3.5,NA,3.4,22
Manipur,104,Ever-married women who have experienced violence during any pregnancy (%),4.1,3,3.4,23
Chandigarh,104,Ever-married women who have experienced violence during any pregnancy (%),NA,NA,3.5,24
Uttar Pradesh,104,Ever-married women who have experienced violence during any pregnancy (%),3.1,4.8,4.3,25
Puducherry,104,Ever-married women who have experienced violence during any pregnancy (%),2.7,9.1,4.6,26
Dadra & Nagar Haveli,104,Ever-married women who have experienced violence during any pregnancy (%),2,6.7,4.7,27
Andhra Pradesh,104,Ever-married women who have experienced violence during any pregnancy (%),3.8,5.3,4.8,28
Bihar,104,Ever-married women who have experienced violence during any pregnancy (%),6.8,4.5,4.8,29
Chhattisgarh,104,Ever-married women who have experienced violence during any pregnancy (%),3.8,5.3,4.9,30
Haryana,104,Ever-married women who have experienced violence during any pregnancy (%),3,6.3,4.9,31
West Bengal,104,Ever-married women who have experienced violence during any pregnancy (%),5.5,4.8,5,32
Telangana,104,Ever-married women who have experienced violence during any pregnancy (%),4.4,7,5.9,33
Tamil Nadu,104,Ever-married women who have experienced violence during any pregnancy (%),5,7.5,6.2,34
Karnataka,104,Ever-married women who have experienced violence during any pregnancy (%),8.7,4.5,6.5,35
Daman & Diu,104,Ever-married women who have experienced violence during any pregnancy (%),9.6,0,6.7,36
