state,display_name,indicator,name,val_2005,val_2015,show
Arunachal Pradesh,Arunachal,101,Currently married women who usually participate in household decisions (%),95.7,89.1,yes
Assam,Assam,101,Currently married women who usually participate in household decisions (%),88.1,87.4,no
Bihar,Bihar,101,Currently married women who usually participate in household decisions (%),69.2,75.2,no
Chhattisgarh,Chhattisgarh,101,Currently married women who usually participate in household decisions (%),76.6,90.5,no
Delhi,Delhi,101,Currently married women who usually participate in household decisions (%),84.8,73.8,yes
Goa,Goa,101,Currently married women who usually participate in household decisions (%),91.1,93.8,no
Gujarat,Gujarat,101,Currently married women who usually participate in household decisions (%),83.8,85.4,no
Haryana,Haryana,101,Currently married women who usually participate in household decisions (%),83.8,76.7,yes
Himachal Pradesh,Himachal,101,Currently married women who usually participate in household decisions (%),79.2,90.8,yes
Jammu and Kashmir,J&K,101,Currently married women who usually participate in household decisions (%),60.4,84,yes
Jharkhand,Jharkhand,101,Currently married women who usually participate in household decisions (%),77.7,86.6,no
Karnataka,Karnataka,101,Currently married women who usually participate in household decisions (%),68.6,80.4,no
Kerala,Kerala,101,Currently married women who usually participate in household decisions (%),88,92.1,no
Madhya Pradesh,MP,101,Currently married women who usually participate in household decisions (%),68.5,82.8,yes
Maharashtra,Maharashtra,101,Currently married women who usually participate in household decisions (%),84.9,89.3,no
Manipur,Manipur,101,Currently married women who usually participate in household decisions (%),94.4,96.2,no
Meghalaya,Meghalaya,101,Currently married women who usually participate in household decisions (%),90.4,91.4,no
Mizoram,Mizoram,101,Currently married women who usually participate in household decisions (%),97.2,96,no
Nagaland,Nagaland,101,Currently married women who usually participate in household decisions (%),96.9,97.4,no
Odisha,Odisha,101,Currently married women who usually participate in household decisions (%),80.3,81.8,no
Punjab,Punjab,101,Currently married women who usually participate in household decisions (%),87.9,90.2,no
Rajasthan,Rajasthan,101,Currently married women who usually participate in household decisions (%),65.1,81.7,yes
Sikkim,Sikkim,101,Currently married women who usually participate in household decisions (%),93.6,95.3,no
Tamil Nadu,Tamil Nadu,101,Currently married women who usually participate in household decisions (%),87.4,84,no
Tripura,Tripura,101,Currently married women who usually participate in household decisions (%),77.9,91.7,no
Uttar Pradesh,UP,101,Currently married women who usually participate in household decisions (%),75.9,81.7,no
Uttarakhand,Uttarakhand,101,Currently married women who usually participate in household decisions (%),71.5,89.8,no
West Bengal,West Bengal,101,Currently married women who usually participate in household decisions (%),70.2,89.9,no
