state,indicator,legend_name,urban,rural,total,rank
Manipur,105,Women owning a house and/or land (alone or jointly with others) (%),72.7,68.1,69.9,1
Odisha,105,Women owning a house and/or land (alone or jointly with others) (%),56.8,65.2,63.5,2
Arunachal Pradesh,105,Women owning a house and/or land (alone or jointly with others) (%),61.8,59,59.7,3
Bihar,105,Women owning a house and/or land (alone or jointly with others) (%),46.8,60.9,58.8,4
Meghalaya,105,Women owning a house and/or land (alone or jointly with others) (%),29.4,66.6,57.3,5
Tripura,105,Women owning a house and/or land (alone or jointly with others) (%),56,57.8,57.3,6
Assam,105,Women owning a house and/or land (alone or jointly with others) (%),45.9,53.7,52.3,7
Karnataka,105,Women owning a house and/or land (alone or jointly with others) (%),45.1,57.5,51.8,8
Telangana,105,Women owning a house and/or land (alone or jointly with others) (%),42.2,58.2,50.5,9
Jharkhand,105,Women owning a house and/or land (alone or jointly with others) (%),50,49.5,49.7,10
Andhra Pradesh,105,Women owning a house and/or land (alone or jointly with others) (%),42.8,45.6,44.7,11
Madhya Pradesh,105,Women owning a house and/or land (alone or jointly with others) (%),41,44.7,43.5,12
Lakshadweep,105,Women owning a house and/or land (alone or jointly with others) (%),41.6,46.6,41.7,13
Puducherry,105,Women owning a house and/or land (alone or jointly with others) (%),41.9,36.6,40.3,14
Tamil Nadu,105,Women owning a house and/or land (alone or jointly with others) (%),34.6,37.9,36.2,15
Haryana,105,Women owning a house and/or land (alone or jointly with others) (%),34.8,36.6,35.8,16
Delhi,105,Women owning a house and/or land (alone or jointly with others) (%),34.7,NA,35,17
Kerala,105,Women owning a house and/or land (alone or jointly with others) (%),31.1,38.4,34.9,18
Nagaland,105,Women owning a house and/or land (alone or jointly with others) (%),25.9,41.1,34.7,19
Maharashtra,105,Women owning a house and/or land (alone or jointly with others) (%),35.2,33.3,34.3,20
Uttar Pradesh,105,Women owning a house and/or land (alone or jointly with others) (%),30.2,35.7,34.2,21
Goa,105,Women owning a house and/or land (alone or jointly with others) (%),33.4,34.8,33.9,22
Jammu & Kashmir,105,Women owning a house and/or land (alone or jointly with others) (%),32.9,33.5,33.3,23
Punjab,105,Women owning a house and/or land (alone or jointly with others) (%),33.9,30.9,32.1,24
Andaman & Nicobar Islands,105,Women owning a house and/or land (alone or jointly with others) (%),26.6,32.1,29.7,25
Uttarakhand,105,Women owning a house and/or land (alone or jointly with others) (%),27.2,30.4,29.2,26
Gujarat,105,Women owning a house and/or land (alone or jointly with others) (%),29.7,25.2,27.2,27
Daman & Diu,105,Women owning a house and/or land (alone or jointly with others) (%),30.9,19.2,27,28
Chhattisgarh,105,Women owning a house and/or land (alone or jointly with others) (%),23.8,27.3,26.4,29
Sikkim,105,Women owning a house and/or land (alone or jointly with others) (%),19.4,28.5,24.8,30
Rajasthan,105,Women owning a house and/or land (alone or jointly with others) (%),22.8,24.5,24.1,31
West Bengal,105,Women owning a house and/or land (alone or jointly with others) (%),25.8,22.8,23.8,32
Dadra & Nagar Haveli,105,Women owning a house and/or land (alone or jointly with others) (%),41.7,3.9,21.8,33
Chandigarh,105,Women owning a house and/or land (alone or jointly with others) (%),NA,NA,21.6,34
Mizoram,105,Women owning a house and/or land (alone or jointly with others) (%),14.9,27.8,19.7,35
Himachal Pradesh,105,Women owning a house and/or land (alone or jointly with others) (%),9.2,11.6,11.3,36
