state,indicator,legend_name,urban,rural,total,rank
Andaman & Nicobar Islands,102,Women who worked in the last 12 months who were paid in cash (%),23.7,18.9,21,21
Andhra Pradesh,102,Women who worked in the last 12 months who were paid in cash (%),29.2,48.2,42.1,2
Arunachal Pradesh,102,Women who worked in the last 12 months who were paid in cash (%),18.3,16.7,17.1,30
Assam,102,Women who worked in the last 12 months who were paid in cash (%),18.6,16.7,17,31
Bihar,102,Women who worked in the last 12 months who were paid in cash (%),11.6,12.6,12.5,35
Chandigarh,102,Women who worked in the last 12 months who were paid in cash (%),NA,NA,32.6,6
Chhattisgarh,102,Women who worked in the last 12 months who were paid in cash (%),25.6,40.6,36.8,4
Dadra & Nagar Haveli,102,Women who worked in the last 12 months who were paid in cash (%),20.1,18.2,19.1,26
Daman & Diu,102,Women who worked in the last 12 months who were paid in cash (%),23.1,12.5,19.5,25
Delhi,102,Women who worked in the last 12 months who were paid in cash (%),21,NA,21,22
Goa,102,Women who worked in the last 12 months who were paid in cash (%),24.7,21.7,23.6,15
Gujarat,102,Women who worked in the last 12 months who were paid in cash (%),31.8,28.9,30.2,8
Haryana,102,Women who worked in the last 12 months who were paid in cash (%),18.7,16.8,17.6,29
Himachal Pradesh,102,Women who worked in the last 12 months who were paid in cash (%),27.2,15.5,17,32
Jammu & Kashmir,102,Women who worked in the last 12 months who were paid in cash (%),15.2,11,12.4,36
Jharkhand,102,Women who worked in the last 12 months who were paid in cash (%),16.1,28.3,24.8,14
Karnataka,102,Women who worked in the last 12 months who were paid in cash (%),29.4,29,29.1,11
Kerala,102,Women who worked in the last 12 months who were paid in cash (%),21.4,19.4,20.4,23
Lakshadweep,102,Women who worked in the last 12 months who were paid in cash (%),21.8,15.5,21.7,19
Madhya Pradesh,102,Women who worked in the last 12 months who were paid in cash (%),22.1,33.5,29.9,9
Maharashtra,102,Women who worked in the last 12 months who were paid in cash (%),22.2,35.5,28.9,12
Manipur,102,Women who worked in the last 12 months who were paid in cash (%),43.8,39,40.9,3
Meghalaya,102,Women who worked in the last 12 months who were paid in cash (%),33.4,36.7,35.9,5
Mizoram,102,Women who worked in the last 12 months who were paid in cash (%),34,21.4,29.3,10
Nagaland,102,Women who worked in the last 12 months who were paid in cash (%),23.8,21.2,22.3,18
Odisha,102,Women who worked in the last 12 months who were paid in cash (%),19.7,23.2,22.5,17
Puducherry,102,Women who worked in the last 12 months who were paid in cash (%),21.7,20.1,21.2,20
Punjab,102,Women who worked in the last 12 months who were paid in cash (%),17.5,19.1,18.5,28
Rajasthan,102,Women who worked in the last 12 months who were paid in cash (%),16.8,19.3,18.6,27
Sikkim,102,Women who worked in the last 12 months who were paid in cash (%),22.4,18.2,19.9,24
Tamil Nadu,102,Women who worked in the last 12 months who were paid in cash (%),25.2,35.7,30.5,7
Telangana,102,Women who worked in the last 12 months who were paid in cash (%),28.1,60.8,45.2,1
Tripura,102,Women who worked in the last 12 months who were paid in cash (%),23.5,27.5,26.3,13
Uttar Pradesh,102,Women who worked in the last 12 months who were paid in cash (%),19.3,15.7,16.6,33
Uttarakhand,102,Women who worked in the last 12 months who were paid in cash (%),17.4,14.4,15.5,34
West Bengal,102,Women who worked in the last 12 months who were paid in cash (%),23.9,22.3,22.8,16
