state,display_name,indicator,name,val_2015,val_2005,show
Arunachal Pradesh,Arunachal,102,Women who worked in the last 12 months who were paid in cash (%),17.1,27.5,yes
Assam,Assam,102,Women who worked in the last 12 months who were paid in cash (%),17,25.8,no
Bihar,Bihar,102,Women who worked in the last 12 months who were paid in cash (%),12.5,17.2,no
Chhattisgarh,Chhattisgarh,102,Women who worked in the last 12 months who were paid in cash (%),36.8,33.8,yes
Delhi,Delhi,102,Women who worked in the last 12 months who were paid in cash (%),21,22,no
Goa,Goa,102,Women who worked in the last 12 months who were paid in cash (%),23.6,33.2,no
Gujarat,Gujarat,102,Women who worked in the last 12 months who were paid in cash (%),30.2,33.3,no
Haryana,Haryana,102,Women who worked in the last 12 months who were paid in cash (%),17.6,15.5,no
Himachal Pradesh,Himachal,102,Women who worked in the last 12 months who were paid in cash (%),17,10.6,yes
Jammu and Kashmir,J&K,102,Women who worked in the last 12 months who were paid in cash (%),12.4,16.9,yes
Jharkhand,Jharkhand,102,Women who worked in the last 12 months who were paid in cash (%),24.8,27.8,no
Karnataka,Karnataka,102,Women who worked in the last 12 months who were paid in cash (%),29.1,34.7,no
Kerala,Kerala,102,Women who worked in the last 12 months who were paid in cash (%),20.4,28,yes
Madhya Pradesh,MP,102,Women who worked in the last 12 months who were paid in cash (%),29.9,32.8,no
Maharashtra,Maharashtra,102,Women who worked in the last 12 months who were paid in cash (%),28.9,35.2,no
Manipur,Manipur,102,Women who worked in the last 12 months who were paid in cash (%),40.9,49.7,yes
Meghalaya,Meghalaya,102,Women who worked in the last 12 months who were paid in cash (%),35.9,22.7,yes
Mizoram,Mizoram,102,Women who worked in the last 12 months who were paid in cash (%),29.3,28.7,no
Nagaland,Nagaland,102,Women who worked in the last 12 months who were paid in cash (%),22.3,21.5,no
Odisha,Odisha,102,Women who worked in the last 12 months who were paid in cash (%),22.5,27.9,no
Punjab,Punjab,102,Women who worked in the last 12 months who were paid in cash (%),18.5,20.2,no
Rajasthan,Rajasthan,102,Women who worked in the last 12 months who were paid in cash (%),18.6,27.2,no
Sikkim,Sikkim,102,Women who worked in the last 12 months who were paid in cash (%),19.9,22,no
Tamil Nadu,Tamil Nadu,102,Women who worked in the last 12 months who were paid in cash (%),30.5,45.7,yes
Tripura,Tripura,102,Women who worked in the last 12 months who were paid in cash (%),26.3,24.9,no
Uttar Pradesh,UP,102,Women who worked in the last 12 months who were paid in cash (%),16.6,16,no
Uttarakhand,Uttarakhand,102,Women who worked in the last 12 months who were paid in cash (%),15.5,15.6,no
West Bengal,West Bengal,102,Women who worked in the last 12 months who were paid in cash (%),22.8,30.1,no
